Year,Male,Female
1992,3023,1872
1993,3035,1911
1994,3085,1957
1995,3189,2009
1996,3313,2077
1997,3515,2179
1998,3727,2335
1999,4022,2434
2000,4473,2628
2001,4324,2673
2002,4256,2716
2003,4371,2795
2004,4607,2939
2005,4783,3017
2006,4992,3131
2007,5188,3248
2008,5180,3296
2009,5080,3298
2010,5270,3378
2011,5443,3471
2012,5751,3598
2013,5743,3668
2014,5960,3785
2015,6223,3968
2016,6317,4072
2017,6627,4244
2018,6922,4442
2019,7132,4646
2020,7935,5186
2021,8775,5618
